Date,Month,Accion,EV / Free Cashflow,EV / EBITDA,EV / Revenue,Total Liabilities / Total Assets,Long Term Liabilities / Total Assets,ROIC,Total Current Liabilities / Total Liabilities,ROE,PER,Sector,Year
2015-03-31,3,NWL,-50.467582987995414,75.31598566644843,8.192996858494192,0.742755049510947,0.43324349695666653,0.02208779492884624,0.4167074363992172,0.03190799174284872,72.10482785775076,Consumer Defensive,2015
2014-12-31,12,NWL,42.85837631590629,81.56573439591769,6.456841884028084,0.7174260774187651,0.4297183248785095,0.019134473499600856,0.40102773177050155,0.02808685319217889,76.93740564051681,Consumer Defensive,2014
2014-09-30,9,NWL,29.091390601616855,43.608508897905025,5.980931230457031,0.6804321804321805,0.3357115857115857,0.04041963869892394,0.5066200638859312,0.06038015304862997,40.47741643898852,Consumer Defensive,2014
2014-06-30,6,NWL,132.96651585480586,31.847330924063655,5.408237331066861,0.661697303034689,0.34224280728839995,0.05407354001441961,0.48278041074249606,0.07171087091090901,31.402805664448795,Consumer Defensive,2014
2014-03-31,3,NWL,-63.49799193874481,75.78201155345867,6.4841892451654095,0.6540649660488164,0.3950015849446938,0.01678828392100832,0.3960820324456688,0.025555555555555554,62.88466597499328,Consumer Defensive,2014
2013-12-31,12,NWL,32.456550668618675,41.405543858546984,5.575181739774327,0.6581379639850404,0.3937921149315452,0.04286179921773143,0.4016571957844144,0.056625633598841416,41.17522789260089,Consumer Defensive,2013
2013-09-30,9,NWL,21.59190155748357,24.837791850503272,4.8909832257283234,0.6435664483414326,0.40907539534203385,0.06739048031623979,0.36436183645638665,0.08828096455973694,23.880617392500188,Consumer Defensive,2013
2013-06-30,6,NWL,183.4590841355479,34.17375096642559,4.963733272535675,0.6813162785612769,0.39372784207156136,0.04398375829108976,0.4221070970108198,0.053902798232695136,35.149396721045385,Consumer Defensive,2013
2013-03-31,3,NWL,-46.291193681533116,63.07678304257599,5.8460912716765305,0.6791131478732332,0.40889433937907443,0.019166560468969033,0.39789953903911035,0.027303410407536147,53.85440780036716,Consumer Defensive,2013
2012-12-31,12,NWL,29.097434102181683,32.80157879062354,4.532330373671707,0.6785278045644487,0.42606878817100613,0.03979846166215528,0.372068785825951,0.051034206440627033,30.95584682322926,Consumer Defensive,2012
2012-09-30,9,NWL,22.467430899490193,25.604279855666235,3.9525036306811283,0.6751999748558137,0.3379221473135009,0.04616196917506851,0.49952286745025015,0.052488731643483735,27.979640025759366,Consumer Defensive,2012
2012-06-30,6,NWL,86.94181096410176,25.80659923118622,4.050330630755881,0.7003853856891424,0.3289130302846392,0.0445220534362331,0.5303827906674465,0.056716720779220776,25.901605734679613,Consumer Defensive,2012
2012-03-31,3,NWL,-59.42764712924618,34.699364431170586,4.547961479623239,0.6897977356570411,0.41503943518636305,0.030587425988256395,0.39831719686491474,0.04072305243157192,34.43696454366049,Consumer Defensive,2012
2011-12-31,12,NWL,24.886779236952616,31.56738986646106,4.570818772575207,0.6992971806067296,0.4297099449755718,0.0323935990870659,0.38551168674419145,0.04348061218971392,30.999482004943673,Consumer Defensive,2011
2011-09-30,9,NWL,18.805571199555285,-26.602462910089393,2.9144449333074256,0.6943237064940919,0.40846453523938314,-0.05143699336772293,0.41170878738696964,-0.09370548198174432,-15.194018183862289,Consumer Defensive,2011
